 2.00000000E-06    4.04888381E-03	   1.43218E+02
 8.48709997E-03    5.07816006E-02	   1.43218E+02
 1.82322999E-02    8.86067335E-02	   1.43218E+02
 2.94102999E-02    1.28185583E-01	   1.43218E+02
 4.22188498E-02    1.68801771E-01	   1.43218E+02
 5.68775498E-02    2.13657151E-01	   1.43218E+02
 7.36320997E-02    2.60975522E-01	   1.43218E+02
 9.27629996E-02    3.15731146E-01	   1.43218E+02
 1.14579850E-01    3.78673675E-01	   1.43218E+02
 1.39432099E-01    4.47601022E-01	   1.43218E+02
 1.67709099E-01    5.21303390E-01	   1.43218E+02
 1.99840249E-01    6.02673611E-01	   1.43218E+02
 2.36304849E-01    6.97416336E-01	   1.43218E+02
 2.77651999E-01    8.02170919E-01	   1.43218E+02
 3.24470849E-01    9.14336677E-01	   1.43218E+02
 3.77430348E-01    1.03175445E+00	   1.43218E+02
 4.37249348E-01    1.15252985E+00	   1.43218E+02
 5.04756848E-01    1.28432061E+00	   1.43218E+02
 5.80831348E-01    1.42663330E+00	   1.43218E+02
 6.66471347E-01    1.57325549E+00	   1.43218E+02
 7.62754847E-01    1.71927841E+00	   1.43218E+02
 8.70890347E-01    1.86101300E+00	   1.43218E+02
 9.92175846E-01    1.99580651E+00	   1.43218E+02
 1.12806935E+00    2.12214223E+00	   1.43218E+02
 1.28013834E+00    2.25029511E+00	   1.43218E+02
 1.45007984E+00    2.37543781E+00	   1.43218E+02
 1.63979134E+00    2.49541174E+00	   1.43218E+02
 1.85126984E+00    2.61050538E+00	   1.43219E+02
 2.08681184E+00    2.72206949E+00	   1.43219E+02
 2.34891334E+00    2.83144423E+00	   1.43219E+02
 2.63997084E+00    2.93949047E+00	   1.43219E+02
 2.96297984E+00    3.05124187E+00	   1.43219E+02
 3.32093534E+00    3.17103690E+00	   1.43219E+02
 3.71723334E+00    3.29646426E+00	   1.43219E+02
 4.15526783E+00    3.42574347E+00	   1.43219E+02
 4.63913183E+00    3.55768672E+00	   1.43220E+02
 5.17262183E+00    3.69128309E+00	   1.43220E+02
 5.76042683E+00    3.82592229E+00	   1.43220E+02
 6.40714182E+00    3.96104196E+00	   1.43221E+02
 7.11776182E+00    4.09784038E+00	   1.43222E+02
 7.89767682E+00    4.24456419E+00	   1.43222E+02
 8.75267681E+00    4.39748874E+00	   1.43223E+02
 9.68875181E+00    4.55346470E+00	   1.43224E+02
 1.07118968E+01    4.70982769E+00	   1.43226E+02
