   6.1113300000000006        417.70827385635414        417.40138657785508        24.792465188521117     	   6.1113300000000006       0.37231076162140808        0.0000000000000000        302.19763429966957     
   6.8359699999999997        417.68780524515597        417.34752928778431        24.777258099817921     	   6.8359699999999997       0.40586244595951704        0.0000000000000000        302.19779252850617     
   7.6406899999999993        417.66546698912987        417.28792502510635        24.759159169279886     	   7.6406899999999993       0.44092638662142691        0.0000000000000000        302.19817038365738     
   8.5275199999999991        417.64494874984956        417.22247445864730        24.743718986409181     	   8.5275199999999991       0.47782556853378622        0.0000000000000000        302.19882997556584     
   9.5087700000000002        417.61607976374705        417.15033018969086        24.724525101639664     	   9.5087700000000002       0.51634347197932196        0.0000000000000000        302.19918937795438     
   10.588600000000000        417.59265132487508        417.07096423014718        24.707024658531978     	   10.588600000000000       0.55725441394734854        0.0000000000000000        302.19948052276322     
   11.779200000000001        417.57804864440106        416.98202571086108        24.690787010123316     	   11.779200000000001       0.60159725391855667        0.0000000000000000        302.19964347448621     
   13.090999999999999        417.54894231934674        416.88401641630202        24.672014419400469     	   13.090999999999999       0.64965999915910166        0.0000000000000000        302.20027983876713     
   14.529999999999999        417.51502166803397        416.77667868605187        24.653565998067279     	   14.529999999999999       0.70132664253674615        0.0000000000000000        302.20097109571896     
   16.110799999999998        417.48228091715828        416.65914156431683        24.634667578393156     	   16.110799999999998       0.75619669443218729        0.0000000000000000        302.20158033867108     
   17.841300000000000        417.43555260441468        416.53105819555088        24.606484782429646     	   17.841300000000000       0.81462119042023462        0.0000000000000000        302.20250037664056     
   19.738099999999999        417.39090680768311        416.39146866351717        24.572630274315234     	   19.738099999999999       0.87620710994458806        0.0000000000000000        302.20308493611407     
   21.811500000000002        417.33968258896908        416.23976675077654        24.533830493109548     	   21.811500000000002       0.97007457741036185        0.0000000000000000        302.20387937324239     
   24.077700000000000        417.29006771487542        416.07495694598856        24.501440689724614     	   24.077700000000000        1.0885493115749412        0.0000000000000000        302.20573368475021     
   26.547199999999997        417.23206101868391        415.89618346819958        24.463169158539802     	   26.547199999999997        1.2159083071135763        0.0000000000000000        302.20922187673040     
   29.238600000000002        417.16634571280298        415.70205836318735        24.421457751439210     	   29.238600000000002        1.3448601329024772        0.0000000000000000        302.21364158522022     
   32.166100000000000        417.09539417057834        415.49207420103124        24.369061602074808     	   32.166100000000000        1.4745287144364705        0.0000000000000000        302.21879952543907     
   35.350100000000005        417.01971754789275        415.26520360871484        24.316110393602912     	   35.350100000000005        1.6089798550224965        0.0000000000000000        302.22500548404264     
   38.805000000000000        416.94510599877776        415.02094396125335        24.259388593466973     	   38.805000000000000        1.7509307980718865        0.0000000000000000        302.23192241849665     
   42.547200000000004        416.86516852475057        414.75849835154264        24.199672886551500     	   42.547200000000004        1.9023830159838311        0.0000000000000000        302.23990423040101     
   46.601599999999998        416.76630039670010        414.47661450804395        24.127230833749699     	   46.601599999999998        2.0639237164111623        0.0000000000000000        302.24884023529495     
   50.986499999999999        416.67462267788545        414.17430227623208        24.055096427679917     	   50.986499999999999        2.2359650399421667        0.0000000000000000        302.25909690598161     
   55.718299999999999        416.57115754575881        413.85029362926485        23.971323508748856     	   55.718299999999999        2.4230820903149599        0.0000000000000000        302.27101119219952     
   60.825800000000001        416.46455699703722        413.50308591729413        23.887195207296983     	   60.825800000000001        2.6249871551444608        0.0000000000000000        302.28551275681571     
   66.323300000000003        416.34300420067188        413.13224530298470        23.784319761572981     	   66.323300000000003        2.8402814936847802        0.0000000000000000        302.30271819243308     
   72.241699999999994        416.21684612697419        412.73609784373565        23.680240186972778     	   72.241699999999994        3.0684818718728502        0.0000000000000000        302.32308516984727     
   78.597200000000001        416.07494204200106        412.31364937914668        23.571329058858126     	   78.597200000000001        3.3077560773244294        0.0000000000000000        302.34672779639453     
   85.418799999999990        415.92880646862585        411.86378402102821        23.452869976054416     	   85.418799999999990        3.5576371692598907        0.0000000000000000        302.37434773028963     
   92.728999999999999        415.77068411448619        411.38556313344463        23.320465757595304     	   92.728999999999999        3.8169761948094467        0.0000000000000000        302.40583855426576     
